dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
2D_27628_bjtcai,27629,442898,0.000218,0.028403,0.5364
pkustk06,43165,1307466,0.000221,0.157251,1.2738
parabolic_fem,525826,2100225,0.000211,0.74224,1.8403
jan99jac120sc,41375,260202,0.000234,0.027382,0.4023
cond-mat-2005,40422,175693,0.000234,0.03215,0.3994
sinc15,11533,568526,0.00024,0.041101,2.9498
msc23052,23053,588933,0.000224,0.061808,1.0799
vibrobox,12329,177578,0.000227,0.02599,0.7212
gyro_k,17362,519260,0.000211,0.056864,0.6242
GitHub,615706,615706,0.000336,0.050858,35.3044
artist,1638396,1638396,0.000234,0.132381,1000000000.0
ell,672479,672479,0.00023,0.093712,1.6707
amazon,9068096,9068096,0.000211,1.025402,1000000000.0
amazon0505,4878874,4878874,0.000208,0.692336,1000000000.0
dd,1686092,1686092,0.000218,0.149293,1000000000.0
yelp,13954819,13954819,0.000192,2.446912,1000000000.0
