dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,rode,ours_gflops
FullChip, 2987013, 2987013, 26621990, 0.000765, 2227781.581807, 1.769789,962.717933
fxm4_6, 18893, 18893, 258368, 1.813722, 9.116918, 0.021680,762.709948
G2_circuit, 150103, 150103, 438388, 113.455093, 0.247295, 0.042563,659.180513
G3_circuit, 1585479, 1585479, 4623152, 12649.772461, 0.023390, 0.456272,648.476653
Ga10As10H30, 113082, 113082, 3114357, 64.452057, 3.092513, 0.118474,1682.390387
Ga19As19H42, 133124, 133124, 4508981, 89.340714, 3.230048, 0.162362,1777.358609
Ga3As3H12, 61350, 61350, 3016148, 19.006195, 10.156345, 0.090026,2144.206500
Ga41As41H72, 268097, 268097, 9378286, 362.053040, 1.657797, 0.339357,1768.670311
GaAsH6, 61350, 61350, 1721579, 18.994240, 5.800762, 0.059462,1852.953449
gas_sensor, 66918, 66918, 885141, 22.588886, 2.507827, 0.044358,1277.075472
Ge87H76, 112986, 112986, 4002590, 64.375221, 3.979260, 0.158445,1616.750838
Ge99H100, 112986, 112986, 4282190, 64.382690, 4.256737, 0.170019,1611.936558
gearbox, 153747, 153747, 4617075, 119.145493, 2.480100, 0.337792,874.777400
Geo_1438, 1437961, 1437961, 32297325, 10406.626953, 0.198626, 1.515536,1363.892887
gridgena, 48963, 48963, 280523, 12.099446, 1.483826, 0.022368,802.640900
gsm_106857, 589447, 589447, 11174185, 1749.140869, 0.408857, 0.776416,921.088470
gupta1, 31803, 31803, 1098006, 5.121664, 13.720616, 0.081578,861.417654
gupta2, 62065, 62065, 2155175, 19.458435, 7.088504, 0.165498,833.433229
gupta3, 16784, 16784, 4670105, 1.438022, 207.845660, 0.104384,2863.338304
gyro, 17362, 17362, 519260, 1.537946, 21.608463, 0.043005,772.765851
gyro_k, 17362, 17362, 519260, 1.538048, 21.607024, 0.041805,794.947959
gyro_m, 17362, 17362, 178896, 1.532054, 7.473197, 0.020029,571.644039
H2O, 67025, 67025, 1141880, 22.663013, 3.224651, 0.060029,1217.421024
halfb, 224618, 224618, 6306219, 254.181885, 1.587832, 0.417888,965.804223
Hamrle3, 1447361, 1447361, 5514242, 10542.288086, 0.033476, 0.487494,723.929286
hangGlider_4, 15562, 15562, 79088, 1.232586, 4.106516, 0.012598,401.767849
hangGlider_5, 16012, 16012, 82070, 1.303910, 4.028252, 0.012694,413.763531
helm2d03, 392258, 392258, 1567096, 774.513489, 0.129493, 0.139674,718.060837
helm3d01, 32227, 32227, 230335, 5.252528, 2.806542, 0.019261,765.359699
hi2010, 25017, 25017, 62063, 3.164451, 1.255204, 0.014445,274.980067
hollywood-2009, 1139906, 1139906, 57515616, 6541.305664, 0.562732, 2.522307,1459.377913
hood, 220543, 220543, 5494489, 244.981979, 1.435401, 0.443258,793.324879
Hook_1498, 1498024, 1498024, 31207734, 11293.954102, 0.176846, 1.578605,1265.227994
HTC_336_4438, 226341, 226341, 565431, 257.934052, 0.140298, 0.071587,505.503561
HTC_336_9129, 226341, 226341, 554881, 257.937958, 0.137678, 0.069933,507.807263
