dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
Ga41As41H72,268097,9378286,1.996426,1.442538,0.926058,2.0054,2.4957,10000000.0,2.399270534515381
GaAsH6,61350,1721579,0.395603,0.283002,0.173334,0.3732,0.4794,1.1753,0.5197728276252747
gas_sensor,66918,885141,0.34056,0.198477,0.118262,0.2245,0.2927,0.2254,0.4366975724697113
Ge87H76,112986,4002590,0.833773,0.633466,0.41121,0.8498,1.0447,1.0746,1.06004798412323
Ge99H100,112986,4282190,0.867779,0.669062,0.439424,0.8957,1.1093,1.1289,1.07674241065979
gearbox,153747,4617075,1.134202,0.687747,0.610256,0.9372,1.2646,0.5821,0.9231616258621216
Geo_1438,1437961,32297325,15.120771,5.084573,3.44921,6.9795,8.9109,10000000.0,7.821600437164307
gridgena,48963,280523,0.179414,0.120832,0.071222,0.1077,0.1713,0.0759,0.2381344139575958
gsm_106857,589447,11174185,5.648694,4.274784,3.449613,4.2513,5.2081,10000000.0,6.244800090789795
gupta1,31803,1098006,0.184179,0.15271,0.131418,0.1831,0.2877,0.2177,0.2056159973144531
gupta2,62065,2155175,0.394627,0.27696,0.278045,0.3832,0.5412,0.3731,0.3996736109256744
gupta3,16784,4670105,1.04513,0.693315,0.60431,0.8706,1.2863,286.7908,0.3040255904197693
gyro,17362,519260,0.11063,0.097562,0.058858,0.0991,0.1598,0.095,0.1251744031906128
gyro_k,17362,519260,0.108906,0.095568,0.05831,0.1004,0.1597,0.0956,0.1269952058792114
gyro_m,17362,178896,0.071328,0.064333,0.030966,0.0475,0.0824,0.0755,0.1214592009782791
H2O,67025,1141880,0.353293,0.228515,0.136691,0.2733,0.3442,0.4138,0.5233503580093384
halfb,224618,6306219,1.804957,0.94792,0.835933,1.292,1.799,10000000.0,1.176540732383728
Hamrle3,1447361,5514242,5.741722,3.487613,2.682496,3.7881,5.1583,10000000.0,6.187462329864502
hangGlider_4,15562,79088,0.201984,0.040054,0.036602,0.0322,0.0636,3.3501,0.1364127993583679
hangGlider_5,16012,82070,0.217859,0.040515,0.03753,0.0323,0.0611,3.5179,0.1444896012544632
helm2d03,392258,1567096,1.657933,0.820422,0.612349,0.8795,1.2808,0.516,1.692745566368103
helm3d01,32227,230335,0.119098,0.090486,0.049062,0.0784,0.1256,0.0934,0.1909056007862091
hi2010,25017,62063,0.076227,0.061728,0.034541,0.0396,0.0802,0.0521,0.2381536066532135
hollywood-2009,1139906,57515616,17.730494,9.713415,8.804765,13.2622,17.4636,10000000.0,14.881158828735352
hood,220543,5494489,1.671155,0.843392,0.828666,1.1993,1.7215,10000000.0,1.1432127952575684
Hook_1498,1498024,31207734,16.594845,4.888041,3.687315,6.8536,8.9805,10000000.0,7.614915370941162
HTC_336_4438,226341,565431,0.838835,0.519053,0.38503,0.5018,0.7456,0.3841,0.981328010559082
HTC_336_9129,226341,554881,0.838045,0.519107,0.384614,0.5049,0.745,0.384,0.9772447347640992
human_gene1,22284,12345963,1.523536,1.712864,1.460845,2.2302,3.0891,10000000.0,2.170668840408325
human_gene2,14341,9041364,1.069322,1.228323,1.005638,1.619,2.2437,10000000.0,1.3373535871505735
ibm_matrix_2,51449,1056610,0.446435,0.19952,0.106336,0.229,0.3472,6.2898,0.362985610961914
igbt3,10939,234006,0.058035,0.054989,0.030403,0.0553,0.0733,0.1126,0.1112032085657119
in-2004,1382909,16917053,6.399149,3.17935,2.821453,4.1342,5.8635,10000000.0,5.417187213897705
inlet,11731,328323,0.067882,0.066509,0.037968,0.0611,0.0994,0.0493,0.10415680706501
inline_1,503713,18660027,6.647174,2.735546,2.640007,3.7346,5.0834,10000000.0,3.1707968711853027
jan99jac120sc,41375,260202,0.146397,0.11215,0.063635,0.0957,0.1701,0.1084,0.219388797879219
juba40k,40338,144945,0.130323,0.095581,0.058003,0.088,0.1481,0.0834,0.216806411743164
k3plates,11108,378927,0.065366,0.070125,0.042918,0.0706,0.118,0.0566,0.104032002389431
kim1,38416,933195,0.219968,0.18623,0.093971,0.192,0.2452,0.1507,0.2278879880905151
kkt_power,2063495,8130343,8.675296,4.713716,3.456266,5.1563,7.0157,10000000.0,9.709327697753906
kron_g500-logn16,65537,2456398,0.862694,0.386157,0.360035,0.5008,0.7441,7.9666,1.0640512704849243
kron_g500-logn17,131073,5114375,2.107565,0.814122,0.767341,1.0649,1.5853,10000000.0,2.2481119632720947
kron_g500-logn18,262145,10583222,3.234102,1.71512,1.637958,2.2598,3.4357,10000000.0,4.815868854522705
kron_g500-logn19,524289,21781478,6.96504,3.832099,3.567926,5.1537,7.824,10000000.0,10.379145622253418
kron_g500-logn20,1048577,44620272,11.960169,9.476435,7.964006,11.5764,17.7439,10000000.0,22.310834884643555
laminar_duct3D,67174,3833077,0.550122,0.622182,0.41289,0.7223,0.9337,0.5477,0.6126207709312439
language,399131,1216334,1.823027,0.95401,0.687846,0.9227,1.3741,8.7011,1.8188480138778689
largebasis,440021,5560100,2.302166,1.527811,1.143981,1.6907,2.2704,10000000.0,2.236560106277466
