dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
ecology2, 1000000, 1000000, 2997995, 3.418390, 449.033995, 1.956243, 784.653714, 1.356448, 1131.612461
email-Enron, 36693, 36693, 367654, 0.197197, 954.573516, 0.115814, 1625.349252, 0.078154, 2408.575575
Emilia_923, 923137, 923137, 20964171, 9.479213, 1132.336156, 3.183546, 3371.604059, 2.231366, 4810.351093
engine, 143572, 143572, 2424822, 0.827824, 1499.725586, 0.526253, 2359.149210, 0.385002, 3224.684849
enron, 69245, 69245, 276143, 0.249402, 566.897806, 0.142749, 990.447689, 0.096477, 1465.484107
eu-2005, 862665, 862665, 19235140, 5.148637, 1912.815449, 3.124317, 3152.174491, 2.763565, 3563.654965
ex11, 16615, 16615, 1096948, 0.146742, 3827.369340, 0.165478, 3394.022351, 0.115398, 4866.942696
ex19, 12006, 12006, 259879, 0.063056, 2110.156877, 0.058781, 2263.631068, 0.030979, 4295.076789
F1, 343792, 343792, 13590452, 4.004845, 1737.473487, 2.178986, 3193.371924, 2.161894, 3218.617602
F2, 71506, 71506, 2682895, 0.557107, 2465.669471, 0.434544, 3161.112035, 0.376093, 3652.402468
Fault_639, 638803, 638803, 14626683, 6.595332, 1135.479181, 2.216259, 3379.054994, 1.550294, 4830.606174
fcondp2, 201823, 201823, 5748069, 1.675856, 1756.124211, 0.841322, 3498.081417, 0.799840, 3679.499963
fem_hifreq_circuit, 491101, 491101, 20239237, 4.193920, 2470.836117, 3.245520, 3192.859474, 3.336698, 3105.612213
filter3D, 106438, 106438, 1406808, 0.602464, 1195.566351, 0.294086, 2449.231501, 0.189078, 3809.455159
finance256, 37377, 37377, 167936, 0.127069, 676.666720, 0.094266, 912.137978, 0.052643, 1633.320840
Flan_1565, 1564795, 1564795, 59485419, 13.547613, 2248.110671, 8.810007, 3457.038742, 9.008368, 3380.915922
flickr, 820879, 820879, 9837214, 4.080893, 1234.203797, 2.779514, 1812.062966, 2.442979, 2061.684964
foldoc, 13357, 13357, 120238, 0.046125, 1334.680142, 0.041270, 1491.670964, 0.021869, 2815.054189
Freescale1, 3428756, 3428756, 18920347, 15.517504, 624.276821, 11.249664, 861.111710, 8.580759, 1128.946523
fullb, 199188, 199188, 5953632, 1.603770, 1900.684129, 0.902022, 3379.361436, 0.830864, 3668.783047
fxm4_6, 18893, 18893, 258368, 0.083741, 1579.688933, 0.081203, 1629.054256, 0.038330, 3451.233813
G2_circuit, 150103, 150103, 438388, 0.535021, 419.525118, 0.326813, 686.798870, 0.216618, 1036.179182
